# JPEG (using image magick)


# Berlin.ppm
"Berlin"
 92:   3.7460 bpp     35.6577 dB   ( R:  35.5024 dB   G:  38.6736 dB   B:  34.0015 dB )
 93:   4.1648 bpp     36.1758 dB   ( R:  36.0389 dB   G:  39.2153 dB   B:  34.4988 dB )
 94:   4.7144 bpp     36.8255 dB   ( R:  36.7109 dB   G:  39.8983 dB   B:  35.1216 dB )
 95:   5.3837 bpp     37.6625 dB   ( R:  37.5717 dB   G:  40.7286 dB   B:  35.9446 dB )
 96:   6.3818 bpp     38.9100 dB   ( R:  38.8430 dB   G:  41.9750 dB   B:  37.1761 dB )
 97:   7.5671 bpp     40.6040 dB   ( R:  40.5523 dB   G:  43.6161 dB   B:  38.8773 dB )
 98:   9.0968 bpp     43.2027 dB   ( R:  43.1610 dB   G:  46.1455 dB   B:  41.4926 dB )
 99:  11.4517 bpp     47.2074 dB   ( R:  47.1457 dB   G:  49.8962 dB   B:  45.6018 dB )
100:  13.0751 bpp     50.5596 dB   ( R:  50.4389 dB   G:  52.8227 dB   B:  49.1672 dB )


# Castle.ppm
"Castle"
  1:   0.0809 bpp     20.7746 dB   ( R:  20.6309 dB   G:  21.2752 dB   B:  20.4595 dB )
  2:   0.0810 bpp     20.7763 dB   ( R:  20.6327 dB   G:  21.2772 dB   B:  20.4609 dB )
  3:   0.0924 bpp     20.9923 dB   ( R:  20.8698 dB   G:  21.5262 dB   B:  20.6297 dB )
  4:   0.1196 bpp     21.6807 dB   ( R:  21.4655 dB   G:  22.2690 dB   B:  21.3631 dB )
  5:   0.1525 bpp     22.4063 dB   ( R:  22.1241 dB   G:  22.8800 dB   B:  22.2519 dB )
  6:   0.1880 bpp     22.9810 dB   ( R:  22.7329 dB   G:  23.4409 dB   B:  22.8037 dB )
  7:   0.2212 bpp     23.5217 dB   ( R:  23.3559 dB   G:  23.9269 dB   B:  23.3090 dB )
  8:   0.2531 bpp     24.0220 dB   ( R:  23.8536 dB   G:  24.3817 dB   B:  23.8519 dB )
  9:   0.2850 bpp     24.3976 dB   ( R:  24.2133 dB   G:  24.7802 dB   B:  24.2230 dB )
 10:   0.3170 bpp     24.7483 dB   ( R:  24.6308 dB   G:  25.1020 dB   B:  24.5331 dB )
 11:   0.3476 bpp     25.0377 dB   ( R:  24.9269 dB   G:  25.4002 dB   B:  24.8082 dB )
 12:   0.3766 bpp     25.3072 dB   ( R:  25.2049 dB   G:  25.6700 dB   B:  25.0692 dB )
 13:   0.4078 bpp     25.5843 dB   ( R:  25.4849 dB   G:  25.9284 dB   B:  25.3600 dB )
 14:   0.4339 bpp     25.7915 dB   ( R:  25.6954 dB   G:  26.1440 dB   B:  25.5565 dB )
 15:   0.4616 bpp     26.0050 dB   ( R:  25.9077 dB   G:  26.3683 dB   B:  25.7616 dB )
 16:   0.4890 bpp     26.2088 dB   ( R:  26.1167 dB   G:  26.5788 dB   B:  25.9547 dB )
 17:   0.5148 bpp     26.3856 dB   ( R:  26.3018 dB   G:  26.7602 dB   B:  26.1196 dB )
